length, basic, wino, opt
101   ,0.298470  ,0.342080  ,0.265295  
201   ,2.048811  ,2.668960  ,2.343838  
301   ,7.250681  ,8.808355  ,6.705256  
401   ,16.383693 ,23.632597 ,17.344112 
501   ,33.797042 ,52.753026 ,44.893677 
601   ,62.490595 ,86.303077 ,67.536391 
701   ,98.439509 ,137.087740,101.018765
801   ,148.232325,189.780823,144.650955
901   ,196.219310,265.767844,214.075708
1001  ,299.451255,389.596005,311.942773
