length, normal, reversed, random
99    ,0.000643  ,0.001864  ,0.001103  
599   ,0.092056  ,0.180123  ,0.090950  
1099  ,0.336155  ,0.464832  ,0.364683  
1599  ,0.932743  ,1.460941  ,1.161666  
2099  ,2.421181  ,3.489463  ,3.044173  
2599  ,5.103301  ,7.356961  ,6.244770  
3099  ,9.532962  ,14.171607 ,13.942357 
3599  ,16.873637 ,23.801605 ,22.273238 
4099  ,27.198661 ,32.885105 ,33.226487 
4599  ,43.868383 ,57.051079 ,52.504937 
