length, normal, reversed, random
99    ,0.000522  ,0.001318  ,0.000982  
599   ,0.032601  ,0.088901  ,0.071481  
1099  ,0.248906  ,0.454797  ,0.354948  
1599  ,0.921336  ,1.497658  ,1.185942  
2099  ,2.526198  ,4.268016  ,3.063730  
2599  ,4.994120  ,7.511845  ,8.646035  
3099  ,9.715875  ,12.825889 ,11.453367 
3599  ,17.613270 ,22.390911 ,23.283616 
4099  ,27.705985 ,36.413872 ,34.910944 
4599  ,40.931017 ,51.832179 ,60.306443 
